category,merchant_pattern,card,rate_percent,reason
コンビニ,セブン|ローソン|ファミマ|ミニストップ|コンビニ,三井住友カードゴールドNL,5.0,対象コンビニ高還元（タッチ/スマホ決済推奨）
マクドナルド,マクド|マクドナルド,三井住友カードゴールドNL,5.0,対象飲食で高還元（タッチ/スマホ決済推奨）
JR関連（駅ビル/物販）,ルミネ|ニュウマン|アトレ|駅ビル|JR物販,JREカード,3.5,JRE優待加盟店で上乗せ
Suicaチャージ/定期券,Suica|モバイルSuica|定期券|チャージ,JREカード,1.5,VIEW経由のチャージ/定期購入で還元
ドラッグストア（ウエルシア）,ウエルシア,ウエルシアカード,2.0,自社カード優遇（編集可）
EC（Amazon）,Amazon|アマゾン|amazon.co.jp,Amazonカード,2.0,Amazon本体で優遇
EC（楽天市場）,楽天市場|rakuten.co.jp,楽天カード,3.0,楽天市場で優遇（編集可）
コード決済（楽天ペイ）,楽天ペイ|Rakuten Pay|R Pay,楽天カード,1.5,楽天ペイ経由で加点（編集可）
航空券（JAL）,JAL|日本航空|JAL航空券,JAL Suicaカード,2.0,JAL特約想定（編集可）
航空券（ANA）,ANA|全日空|ANA航空券,ANAワイドゴールドカード,2.0,ANA特約想定（編集可）
一般加盟店（Visa/Master/JCB）,一般|その他|汎用,JCBカード,1.0,ベース還元（編集可）
